"Section","Field","Value"
"System ID","Name",""
"System ID","Model version",""
"System ID","Release date",""
"System ID","Deployment (Geography)",""
"System ID","Objective",""
"System ID","Use case",""
"System ID","Publication",""
"Legal","Usage policies",""
"Legal","Licensing",""
"Legal","Release management",""
"Benefits","Sustainable development goals",""
"Resource Control","Resource optimisation",""
"Resource Control","Resource management",""
"System Architecture","Automation level",""
"System Architecture","Human oversight",""
"System Architecture","Fail operation",""
"System Architecture","Fail safe",""
"System Design","Adaptability",""
"System Design","Learning frequency",""
"System Design","Label AI content",""
"System Design","Content moderation",""
"System Design","Human machine interface",""
"System Design","User information",""
"System Design","In-use monitoring",""
"System Design","System health monitoring",""
"AI Models","Model number",""
"AI Models","Link to model cards",""
"AI Models","Limitations in datasets",""
"Software Architecture","Power consumption control",""
"Software Architecture","Library / framework",""
"Software Architecture","Language",""
"Software Architecture","Operating system",""
"Software Requirements","Latency",""
"Software Requirements","Precision",""
"Hardware Architecture","Infrastructure",""
"Hardware Architecture","Computing framework",""
"Hardware Architecture","Hardware",""
"Hardware Architecture","Hardware redundancy",""
"Hardware Architecture","Data movement control",""
"Hardware Architecture","Heat dissipation",""
"Hardware Requirements","Compute performance",""
"Hardware Requirements","Cores",""
"Hardware Requirements","Memory bandwidth",""
"Hardware Requirements","RAM / VRAM",""
"Hardware Requirements","Thermal design power",""
"Assessment","System quality",""
"Ethics","Ethical considerations",""
